wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
54781,27164,540,100,1,Y,N,WS_Open,P01-1,Project 1,,54780,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,ocAATKZwckKmaqAv8IFqBQ,,
54782,27164,540,0,1,N,N,WS_Open,1,Scoping,,54781,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,KPrhIOBcq0CxBuz+TCX/Dw,LiP99OxBHE6e8YWnflFZAA,
54783,27164,540,100,1,N,N,WS_Open,2,Planning,,54781,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,7+pm/KcOYk+yw6vGiBI51g,t+yiAEUa8kmEel9iXPl1jQ,
54784,27164,540,200,1,N,N,WS_Open,3,Design,,54781,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,uWKK41jpZUeBv5hMXgt7jw,uZCJicSAskKBZZGdB6KipQ,
54785,27164,540,0,1,N,N,WS_Open,6,"Geotech, Seismic and Potholing",,54784,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,6btetidfwUGmawK/K1T1pg,zv2cGZAvXU+yn2YmeQGgGw,
54786,27164,540,1,1,N,N,WS_Open,1,Civil Design,,54784,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,Xecbmmc8UE6Dg0KO5ZbwSQ,f6LY1yCtSkGfqufkZOzisw,
54787,27164,540,2,1,N,N,WS_Open,2,Electrical Design,,54784,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,wZFpHOMCekm2kPeE690mGQ,ccTaZyl23kGWfk+9Pr/c4g,
54788,27164,540,3,1,N,N,WS_Open,3,Service Cutover Design,,54784,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,qLU8tpvXOUKgIB5wA3lOew,LYtr/+MGTE+Ul4y1tmMHVQ,
54789,27164,540,4,1,N,N,WS_Open,4,Substation Engineering Design,,54784,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,XZUwVQSYrEa4whnTnNIgkw,+WoQ5hXnQ0qQP2gPj72p5g,
54790,27164,540,5,1,N,N,WS_Open,5,Remove from Service (Existing OH) Design,,54784,6,0.88,0.0000,0.0000,,,,,,EC_Cmp_pct,EE_Rem_hr,EYEAGtVC+Em1l76LS4lSoA,YCEHU9AMu0GP7tEHedk+ew,
