rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
7175,6950,0,0.0000,2022-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
7178,6953,1,0.0000,2022-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
7182,7257,1,162.7400,2022-01-01 00:00,,,,,
7191,7266,1,75.0800,2022-01-01 00:00,,,,,
7240,7315,1,271.5700,2022-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
7242,7346,1,165.9900,2022-01-01 00:00,,,,,
7244,7344,1,70.0000,2022-01-01 00:00,,,,,
7251,7322,1,78.0800,2022-01-01 00:00,,,,,
7256,7327,1,208.7000,2022-01-01 00:00,,,,,
7258,7329,1,165.1400,2022-01-01 00:00,,,,,
7259,7330,1,131.2000,2022-01-01 00:00,,,,,
7260,7331,1,78.0000,2022-01-01 00:00,,,,,
7261,7332,1,107.3300,2022-01-01 00:00,,,,,
7264,7335,1,157.4300,2022-01-01 00:00,,,,,
7265,7336,1,132.1200,2022-01-01 00:00,,,,,
7266,7337,1,101.0000,2022-01-01 00:00,,,,,
7267,7338,1,89.1600,2022-01-01 00:00,,,,,
7268,7339,1,71.7900,2022-01-01 00:00,,,,,
7269,7340,1,66.0600,2022-01-01 00:00,,,,,
7270,7341,1,108.7700,2022-01-01 00:00,,,,,
7272,7343,1,172.5500,2022-01-01 00:00,,,,,
7292,7367,1,0.0000,2022-01-01 00:00,,,,,
7293,7368,1,166.2100,2022-01-01 00:00,,,,,
7294,7369,1,174.1800,2022-01-01 00:00,,,,,
7295,7370,1,179.0800,2022-01-01 00:00,,,,,
7296,7371,1,112.7100,2022-01-01 00:00,,,,,
7297,7372,1,99.0000,2022-01-01 00:00,,,,,
7298,7373,1,118.0000,2022-01-01 00:00,,,,,
7299,7374,1,135.0000,2022-01-01 00:00,,,,,
7300,7375,1,99.0000,2022-01-01 00:00,,,,,
7301,7376,1,118.0000,2022-01-01 00:00,,,,,
7302,7377,1,135.0000,2022-01-01 00:00,,,,,
7303,7378,1,114.0000,2022-01-01 00:00,,,,,
7304,7379,1,132.0000,2022-01-01 00:00,,,,,
7305,7380,1,152.0000,2022-01-01 00:00,,,,,
7306,7381,1,170.0000,2022-01-01 00:00,,,,,
7307,7382,1,75.0000,2022-01-01 00:00,,,,,
7308,7383,1,92.0000,2022-01-01 00:00,,,,,
7309,7384,1,90.0000,2022-01-01 00:00,,,,,
7310,7385,1,135.0000,2022-01-01 00:00,,,,,
7311,7386,1,160.0000,2022-01-01 00:00,,,,,
7312,7387,1,180.0000,2022-01-01 00:00,,,,,
7313,7388,1,230.0000,2022-01-01 00:00,,,,,
7314,7389,1,115.0000,2022-01-01 00:00,,,,,
7315,7390,1,75.0000,2022-01-01 00:00,,,,,
7316,7391,1,195.0000,2022-01-01 00:00,,,,,
7317,7392,1,120.7900,2022-01-01 00:00,,,,,
7319,7394,1,0.0000,2022-01-01 00:00,,,,,
7320,7395,1,150.0000,2022-01-01 00:00,,,,,
7321,7396,1,114.0500,2022-01-01 00:00,,,,,
7322,7397,1,0.0000,2022-01-01 00:00,,,,,
7323,7398,1,204000.0000,2022-01-01 00:00,,,,,
7324,7399,0.363636363636364,10200.0000,2022-01-01 00:00,,,,,
7325,7400,0.363636363636364,680106.0000,2022-01-01 00:00,,,,,
7326,7401,0.363636363636364,80135.0000,2022-01-01 00:00,,,,,
7327,7402,0.363636363636364,35243.0000,2022-01-01 00:00,,,,,
7328,7403,0.363636363636364,152561.0000,2022-01-01 00:00,,,,,
7329,7404,0.363636363636364,327000.0000,2022-01-01 00:00,,,,,
7330,7405,0.363636363636364,623000.0000,2022-01-01 00:00,,,,,
7455,7730,1,0.0000,2023-01-01 00:00,,,,,
7467,7742,1,0.0000,2023-01-01 00:00,,,,,
7478,7753,1,0.0000,2023-01-01 00:00,,,,,
7494,7769,1,0.0000,2023-01-01 00:00,,,,,
7510,7785,1,0.0000,2023-01-01 00:00,,,,,
7511,7786,0.363636363636364,0.0000,2023-01-01 00:00,,,,,
