task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,est_wt,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
141166,27164,54782,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,SCO1000,Bundling / Phasing of circuits for project sequencing,,0,0,80,0,0,0,80,0,0,0,7/3/23 0:00,,,7/3/23 8:00,7/17/23 16:00,,7/3/23 8:00,7/17/23 16:00,7/3/23 8:00,7/17/23 16:00,7/3/23 8:00,7/17/23 16:00,7/3/23 8:00,7/17/23 16:00,CS_MSOA,PT_Normal,,,,,p/G9q1S7XU+OqCyxya5vIA,UJjuaNL6SEi7r5Yn69vahA,,,Y,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141167,27164,54782,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,SCO1010,Constructability Review,,0,0,40,0,0,0,40,0,0,0,,,,7/18/23 8:00,7/24/23 16:00,,7/18/23 8:00,7/24/23 16:00,7/18/23 8:00,7/24/23 16:00,7/18/23 8:00,7/24/23 16:00,7/18/23 8:00,7/24/23 16:00,,PT_Normal,,,,,ReeSZLqrAk2F8ze/A6S9Kw,CG/UvRRQ0kKwwXtUZSTJZA,,,Y,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141168,27164,54782,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,SCO1020,SDG&E Review,,0,0,16,0,0,0,16,0,0,0,,,,7/25/23 8:00,7/26/23 16:00,,7/25/23 8:00,7/26/23 16:00,7/25/23 8:00,7/26/23 16:00,7/25/23 8:00,7/26/23 16:00,7/25/23 8:00,7/26/23 16:00,,PT_Normal,,,,,SsGDh3RazE6nrVe5kBxrSA,wAXZeb3RvUWInuZ0vOWywQ,,,Y,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141169,27164,54783,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,PLA1000,Workorder Setup,,0,0,40,0,0,0,40,0,0,0,,,,7/27/23 8:00,8/2/23 16:00,,7/27/23 8:00,8/2/23 16:00,7/27/23 8:00,8/2/23 16:00,7/27/23 8:00,8/2/23 16:00,7/27/23 8:00,8/2/23 16:00,,PT_Normal,,,,,t4G25SBIQEWa16MhSCFHtg,2nQLorlKHUSlsyRyBzMwLg,,,Y,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141170,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1040,10% Submittal,,0,0,200,0,0,0,200,0,0,0,,,,10/12/23 8:00,11/15/23 16:00,,10/12/23 8:00,11/15/23 16:00,10/12/23 8:00,11/15/23 16:00,10/12/23 8:00,11/15/23 16:00,10/12/23 8:00,11/15/23 16:00,,PT_Normal,,,,,lhUUbmmlz0qBlW6U2UJ5GQ,lkILpi3jsECEqBMIGWirgQ,,,Y,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141171,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1050,30% Submittal,,0,0,400,0,0,0,400,0,0,0,,,,11/16/23 8:00,1/31/24 16:00,,11/16/23 8:00,1/31/24 16:00,11/16/23 8:00,1/31/24 16:00,11/16/23 8:00,1/31/24 16:00,11/16/23 8:00,1/31/24 16:00,,PT_Normal,,,,,9Jud0Zi0YUqGxndCJq1nFw,eyVqv558MEyC1wT4hwvUFQ,,,Y,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141172,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1060,30% Review,,0,0,80,0,0,0,80,0,0,0,,,,2/1/24 8:00,2/14/24 16:00,,2/1/24 8:00,2/14/24 16:00,2/1/24 8:00,2/14/24 16:00,2/1/24 8:00,2/14/24 16:00,2/1/24 8:00,2/14/24 16:00,,PT_Normal,,,,,X0jcY4xucECL2PHOjdzm7Q,3/fAvhn7U0yLjm/7EvavKQ,,,Y,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141173,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1070,60% Submittal (60 taking less tahn 30%),,600,0,560,0,0,0,560,0,0,0,,,,5/30/24 8:00,9/4/24 16:00,,2/15/24 8:00,5/22/24 16:00,2/15/24 8:00,5/22/24 16:00,2/15/24 8:00,5/22/24 16:00,5/30/24 8:00,9/4/24 16:00,,PT_Normal,,,,,Z79egalxJkuY/4EawqdWUA,CE/72uy8nkGLiZAVDar6aQ,,,N,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141174,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1080,60% Review (check env reviews at 30 and 60),,600,0,80,0,0,0,80,0,0,0,,,,9/5/24 8:00,9/18/24 16:00,,5/23/24 8:00,6/5/24 16:00,5/23/24 8:00,6/5/24 16:00,5/23/24 8:00,6/5/24 16:00,9/5/24 8:00,9/18/24 16:00,,PT_Normal,,,,,GILGRV1ZekK01ZrkTfAJsQ,DCJwPZ3pzEyb//dCGK++bQ,,,N,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
141175,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1090,90% Submittal,,600,0,360,0,0,0,360,0,0,0,,,,9/19/24 8:00,11/20/24 16:00,,6/6/24 8:00,8/7/24 16:00,6/6/24 8:00,8/7/24 16:00,6/6/24 8:00,8/7/24 16:00,9/19/24 8:00,11/20/24 16:00,,PT_Normal,,,,,swia9onImE20l/KUkPnizA,C2FOBsWNhkC2yDZp5ophyg,,,N,0,0,,,2/8/23 18:30,2/8/23 18:31,NotPrmUser,NotPrmUser,
